number,music_title,singer,duration
1,Delicate,Taylor Swift,232.25
2,I Love Rock 'N Roll,Joan Jett & The Blackhearts,175.17
3,Don't You (Forget About Me),Simple Minds,263.04
4,People Are People,Depeche Mode,231.97
5,Da Ya Think I'm Sexy,Rod Stewart,331.33
6,Ballad For Kay,Acoustic Alchemy,179.89
7,"Tchaikovsky: Les Saisons, Op. 37a",김용배,0.0
8,Dancing Queen,ABBA,230.4
9,A Time For Us,Mantovani,0.0
10,Der Kommissar,After The Fire,337.19
11,Carry On (LP Ver.),"Crosby, Stills & Nash",0.0
12,Too Shy,Kajagoogoo,221.52
13,Come Back,The J. Geils Band,312.6
14,Heartbreaker,Grand Funk Railroad,394.76
15,Would? (2022 Remaster),Alice In Chains,206.77
16,Dancing In The Flames,The Weeknd,220.04
17,HOT TO GO!,Chappell Roan,184.84
18,Lay Me Down (Single Version),Sam Smith,219.04
19,A Bar Song (Tipsy) (Explicit Ver.),Shaboozey,0.0
20,Still Got The Blues,Gary Moore,370.87
21,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
22,It's A Miracle,Culture Club,550.93
23,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,251.17
24,Sara Smile (Remastered),Hall & Oates,0.0
25,The Most Beautiful Girl In The World,Prince,265.32
26,I Was Made For Lovin' You,Kiss,271.24
27,Ballad For Kay (철수는 오늘 BGM),Acoustic Alchemy,0.0
28,By The Time I Get To Phoenix (Remastered 2001),Glen Campbell,164.2
29,Desperado (2013 Remaster),Eagles,213.71
30,Home Sweet Home,Motley Crue,239.67
31,Dive (배캠 Live),Olivia Dean,0.0
32,Drive It Like You Stole It,Sing Street,216.39
33,Building A Mystery,Sarah McLachlan,247.31
34,Fur Elise - Batiste,Jon Batiste,244.34
35,School Revolution,Voice of Baceprot,348.12
36,Espresso,Sabrina Carpenter,175.46
37,It Could Happen To You,Laufey,127.85
38,On A String,Mamas Gun,225.03
39,Lose Control,Teddy Swims,210.69
40,Lover,Taylor Swift,221.31
41,I'll Never Love Again (Film Version),"Lady Gaga, Bradley Cooper",281.07
42,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
43,Patience,Take That,202.07
44,Sirius (Instrumental),Alan Parsons Project,107.67
45,Eye In The Sky,Alan Parsons Project,276.28
46,Stars,Simply Red,248.6
47,My Sharona,The Knack,295.4
48,Ballad For Kay (철수는 오늘 BGM),Acoustic Alchemy,0.0
49,Anytime You Need A Friend,Mariah Carey,265.42
50,Angels,Robbie Williams,265.0
51,"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,195.51
52,All The Stars,"Kendrick Lamar, SZA",232.19
53,Between The Bars (Elliott Smith Cover),Chris Garneau,0.0
54,Cucurrucucu Paloma,Alberto Iglesias,0.0
55,BIRDS OF A FEATHER,Billie Eilish,210.37
56,Trip,Ella Mai,213.99
57,Players,Coi Leray,139.56
58,Leave Before You Love Me,"Marshmello, Jonas Brothers",154.98
59,FREEDOM,Jon Batiste,178.29
60,Neon,John Mayer,262.11
61,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,0.0
62,Feel It Still,Portugal. The Man,163.25
63,Let Me Be There,Olivia Newton John,181.73
64,Simple Man,Lynyrd Skynyrd,356.63
65,Change the World,Eric Clapton,234.87
66,Let It Be (Remastered 2009),The Beatles,243.03
67,Proud Mary,Creedence Clearwater Revival,187.21
68,Casablanca,Bertie Higgins,274.8
69,The Load Out,Jackson Browne,335.26
70,Stay (Live),Jackson Browne,202.07
71,Everything,Michael Buble,212.37
72,"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,186.91
73,Song 2 (2012 Remaster),Blur,121.16
74,It's Only Us,Robbie Williams,170.73
75,Time-Bomb,All Time Low,209.93
76,Ready Set Go,트랜스픽션,0.0
77,We Will Rock You (Remastered),Queen,122.07
78,We Are The Champions (Remastered 2011),Queen,179.2
79,The Rockafeller Skank,Fatboy Slim,413.88
80,Make Way,Aloe Blacc,200.25
81,"Colors (Coca-Cola® Anthem, 2018 FIFA World CupTM)",Jason Derulo,187.39
82,For Granted,yaeji,161.95
