Date: 2024-10-16, Song: Delicate, Artist: Taylor Swift, Playtime: 232.25 seconds
Date: 2024-10-16, Song: I Love Rock 'N Roll, Artist: Joan Jett & The Blackhearts, Playtime: 175.17 seconds
Date: 2024-10-16, Song: Don't You (Forget About Me), Artist: Simple Minds, Playtime: 263.04 seconds
Date: 2024-10-16, Song: People Are People, Artist: Depeche Mode, Playtime: 231.97 seconds
Date: 2024-10-16, Song: Da Ya Think I'm Sexy, Artist: Rod Stewart, Playtime: 331.33 seconds
Date: 2024-10-16, Song: Ballad For Kay, Artist: Acoustic Alchemy, Playtime: 179.89 seconds
Date: 2024-10-16, Song: Tchaikovsky: Les Saisons, Op. 37a, Artist: 김용배 not found on Spotify
Date: 2024-10-16, Song: Dancing Queen, Artist: ABBA, Playtime: 230.40 seconds
Date: 2024-10-16, Song: A Time For Us, Artist: Mantovani not found on Spotify
Date: 2024-10-16, Song: Der Kommissar, Artist: After The Fire, Playtime: 337.19 seconds
Date: 2024-10-16, Song: Carry On (LP Ver.), Artist: Crosby, Stills & Nash not found on Spotify
Date: 2024-10-16, Song: Too Shy, Artist: Kajagoogoo, Playtime: 221.52 seconds
Date: 2024-10-16, Song: Come Back, Artist: The J. Geils Band, Playtime: 312.60 seconds
Date: 2024-10-16, Song: Heartbreaker, Artist: Grand Funk Railroad, Playtime: 394.76 seconds
Date: 2024-10-16, Song: Would? (2022 Remaster), Artist: Alice In Chains, Playtime: 206.77 seconds
Date: 2024-10-16, Song: Dancing In The Flames, Artist: The Weeknd, Playtime: 220.04 seconds
Date: 2024-10-16, Song: HOT TO GO!, Artist: Chappell Roan, Playtime: 184.84 seconds
Date: 2024-10-16, Song: Lay Me Down (Single Version), Artist: Sam Smith, Playtime: 219.04 seconds
Date: 2024-10-16, Song: A Bar Song (Tipsy) (Explicit Ver.), Artist: Shaboozey not found on Spotify
Date: 2024-10-16, Song: Still Got The Blues, Artist: Gary Moore, Playtime: 370.87 seconds
Date: 2024-10-15, Song: Satisfaction (타이틀 뮤직), Artist: Vienna Symphonic Orchestra Project not found on Spotify
Date: 2024-10-15, Song: It's A Miracle, Artist: Culture Club, Playtime: 550.93 seconds
Date: 2024-10-15, Song: Rockabye (feat. Sean Paul & Anne-Marie), Artist: Clean Bandit, Playtime: 251.17 seconds
Date: 2024-10-15, Song: Sara Smile (Remastered), Artist: Hall & Oates not found on Spotify
