labels,start,stop
speech,0.0,5.1000000000000005
speech,5.1000000000000005,10.76
music,10.76,12.1
music,12.1,43.06
speech,43.06,45.36
music,45.36,47.62
speech,47.62,57.96
music,57.96,59.7
speech,59.7,64.28
music,64.28,65.98
speech,65.98,71.04
music,71.04,77.92
speech,77.92,87.3
music,87.3,89.28
speech,89.28,110.46
music,110.46,124.68
speech,124.68,132.74
music,132.74,134.08
speech,134.08,143.98
music,143.98,146.36
speech,146.36,151.64
music,151.64,159.48
music,159.48,161.48
music,161.48,163.46
music,163.46,165.5
music,165.5,294.40000000000003
speech,294.40000000000003,296.32
speech,296.32,303.02
speech,303.02,304.12
speech,304.12,307.76
speech,307.76,309.96
speech,309.96,311.40000000000003
speech,311.40000000000003,312.88
speech,312.88,317.18
speech,317.18,318.3
speech,318.3,319.7
speech,319.7,324.1
speech,324.1,326.2
speech,326.2,328.1
speech,328.1,331.26
speech,331.26,333.5
speech,333.5,335.56
speech,335.56,343.90000000000003
speech,343.90000000000003,355.58
speech,355.58,361.92
music,361.92,365.44
speech,365.44,378.78
music,378.78,396.2
speech,396.2,415.56
speech,415.56,435.32
speech,435.32,456.0
music,456.0,464.6
speech,464.6,473.96
music,473.96,475.74
speech,475.74,495.72
music,495.72,647.04
music,647.04,845.6
speech,845.6,847.3000000000001
speech,847.3000000000001,848.9200000000001
speech,848.9200000000001,852.28
speech,852.28,855.3000000000001
speech,855.3000000000001,860.22
speech,860.22,863.08
speech,863.08,868.66
speech,868.66,872.2
speech,872.2,876.4200000000001
speech,876.4200000000001,878.1
speech,878.1,881.1800000000001
speech,881.1800000000001,886.2
speech,886.2,889.3000000000001
speech,889.3000000000001,893.14
speech,893.14,895.2
speech,895.2,897.9
speech,897.9,902.14
speech,902.14,905.84
speech,905.84,908.46
speech,908.46,912.54
speech,912.54,914.8
speech,914.8,916.78
speech,916.78,918.72
speech,918.72,921.32
speech,921.32,923.86
speech,923.86,928.08
speech,928.08,930.78
speech,930.78,933.52
speech,933.52,935.62
speech,935.62,938.62
speech,938.62,941.2
speech,941.2,944.2
speech,944.2,946.18
speech,946.18,948.66
speech,948.66,951.48
speech,951.48,952.88
speech,952.88,955.52
speech,955.52,958.4
speech,958.4,960.02
speech,960.02,960.8
speech,960.8,964.28
speech,964.28,968.24
speech,968.24,969.38
speech,969.38,971.04
speech,971.04,972.4
music,972.4,1210.22
music,1210.22,1459.98
speech,1459.98,1462.74
speech,1462.74,1465.3
speech,1465.3,1469.16
speech,1469.16,1471.62
speech,1471.62,1472.54
speech,1472.54,1474.64
speech,1474.64,1475.8
speech,1475.8,1478.78
speech,1478.78,1482.92
speech,1482.92,1484.56
speech,1484.56,1488.82
speech,1488.82,1493.76
speech,1493.76,1497.0
speech,1497.0,1498.04
speech,1498.04,1500.52
speech,1500.52,1502.4
speech,1502.4,1505.36
speech,1505.36,1509.32
speech,1509.32,1510.88
speech,1510.88,1512.22
speech,1512.22,1514.84
speech,1514.84,1516.86
speech,1516.86,1517.86
speech,1517.86,1520.34
speech,1520.34,1526.94
speech,1526.94,1531.16
speech,1531.16,1534.68
speech,1534.68,1536.12
speech,1536.12,1540.42
speech,1540.42,1546.16
speech,1546.16,1550.88
speech,1550.88,1553.98
music,1553.98,1719.98
music,1719.98,1724.38
music,1724.38,1745.76
speech,1745.76,1749.72
music,1749.72,1751.84
speech,1751.84,1765.1
music,1765.1,1785.26
speech,1785.26,1805.32
music,1805.32,1809.38
music,1809.38,1815.34
speech,1815.34,1871.1
music,1871.1,1877.46
music,1877.46,1896.28
speech,1896.28,1897.86
music,1897.86,2154.7
speech,2154.7,2156.24
music,2156.24,2157.58
speech,2157.58,2162.86
speech,2162.86,2165.94
speech,2165.94,2169.2
speech,2169.2,2173.74
speech,2173.74,2176.98
speech,2176.98,2181.34
speech,2181.34,2185.16
speech,2185.16,2187.36
speech,2187.36,2193.8
speech,2193.8,2195.02
speech,2195.02,2200.36
speech,2200.36,2204.12
