No,Title,Artist,Playtime (seconds)
1,Connection,Elastica,140.48
2,101 Eastbound,Fourplay,356.715
3,Remember The Time,Michael Jackson,239.226
4,True To Your Heart (Feat. Stevie Wonder),98°,256.04
5,We Didn't Start the Fire,Billy Joel,287.733
6,No More Lonely Nights (Ballad),Paul McCartney,283.626
7,Love Is All Around,Wet Wet Wet,246.24
8,Sorry Seems To Be The Hardest Word,Blue,210.066
9,Breathe Again,Toni Braxton,269.173
10,Blinding Lights,The Weeknd,200.04
11,A Time For Us,Mantovani,197.427
12,Rio Funk (Album Version),Lee Ritenour,382.933
13,Truth Hurts,Lizzo,173.325
14,Somebody That I Used To Know (Feat. Kimbra),Gotye,244.884
15,Burn (Radio Mix),Usher,231.933
16,Always On My Mind,Elvis Presley,218.44
17,When I Was Your Man,Bruno Mars,213.826
18,Torn,Natalie Imbruglia,244.666
19,모차르트 : 피아노 소나타 16번 다장조 ? 1악장,릴렉싱 모드 (Relaxing Mode),372.363
20,Torn,Natalie Imbruglia,244.666
21,Landslide,Fleetwood Mac,199.493
22,I Will Survive,Gloria Gaynor,296.106
23,Nothing Compares 2 U,Sinead O'Connor,280.04
24,You're So Vain,Carly Simon,258.411
25,You're So Vain,Carly Simon,258.411
