Start Time,Stop Time,Duration,Type,MP3 File,Transcript File,Transcript
0.0,5.1000000000000005,5.1000000000000005,speech,speech_output_segment_1.mp3,speech_0.txt,"[00:00.000 --> 00:02.000]  그래서 다양한의 택을 즐기세요.
[00:02.000 --> 00:05.140]  돼지고기 먹고나 살땐 원산지를 꼭 확인하세요."
5.1000000000000005,10.76,5.659999999999999,speech,speech_output_segment_2.mp3,speech_5.txt,[00:00.000 --> 00:05.200]  영양도 맛도 신선함도 국내산 돼지고기 한돈에서 6시를 알려드립니다.
10.76,12.1,1.3399999999999999,music,music_output_segment_3.mp3,music_10.txt,
12.1,43.06,30.96,music,music_output_segment_4.mp3,music_12.txt,
43.06,45.36,2.299999999999997,speech,speech_output_segment_5.mp3,speech_43.txt,[00:00.000 --> 00:02.280]  아이고 인생이 연기처럼
45.36,47.62,2.259999999999998,music,music_output_segment_6.mp3,music_45.txt,[00:00.000 --> 00:01.000]  가라지네
47.62,57.96,10.340000000000003,speech,speech_output_segment_7.mp3,speech_47.txt,[00:00.000 --> 00:10.400]  노년의 엄마가 작은 목소리로 말하자 중년의 딸은 가슴이 점이는 듯해 감히 그 고통을 느낄 수조차 없을 것 같습니다.
57.96,59.7,1.740000000000002,music,music_output_segment_8.mp3,music_57.txt,[00:00.000 --> 00:02.000]  구독과 좋아요 부탁드려요!
59.7,64.28,4.579999999999998,speech,speech_output_segment_9.mp3,speech_59.txt,"[00:00.000 --> 00:02.000]  정말 그렇네
[00:02.000 --> 00:04.000]  다른 높나지 없는 목소리로 대답..."
64.28,65.98,1.7000000000000028,music,music_output_segment_10.mp3,music_64.txt,[00:00.000 --> 00:01.280]  다!
65.98,71.04,5.060000000000002,speech,speech_output_segment_11.mp3,speech_65.txt,"[00:00.000 --> 00:02.000]  아유, 제대로 살지도 않았는데
[00:02.000 --> 00:05.000]  3월만 가버리고 있어"
71.04,77.92,6.8799999999999955,music,music_output_segment_12.mp3,music_71.txt,[00:00.000 --> 00:06.800]  구독과 좋아요 부탁드려요!
